pokemon,height,weight,base_experience,type_1,type_2,hp,attack,defense,special_attack,special_defense,speed,egg_group_1,egg_group_2,generation_id,dual_type,log_weight,log_height,base_stat_total
nidoking,1.4,62,227,poison,ground,81,102,77,85,75,85,monster,ground,1,TRUE,4.127134385045092,0.3364722366212129,505
clefairy,0.6,7.5,113,fairy,NA,70,45,48,60,65,35,fairy,NA,1,FALSE,2.0149030205422647,-0.5108256237659907,323
clefable,1.3,40,217,fairy,NA,95,70,73,95,90,60,fairy,NA,1,FALSE,3.6888794541139363,0.26236426446749106,483
vulpix,0.6,9.9,60,fire,NA,38,41,40,50,65,65,ground,NA,1,FALSE,2.2925347571405443,-0.5108256237659907,299
ninetales,1.1,19.9,177,fire,NA,73,76,75,81,100,100,ground,NA,1,FALSE,2.990719731730447,0.09531017980432493,505
jigglypuff,0.5,5.5,95,normal,fairy,115,45,20,45,25,20,fairy,NA,1,TRUE,1.7047480922384253,-0.6931471805599453,270
wigglytuff,1,12,196,normal,fairy,140,70,45,85,50,45,fairy,NA,1,TRUE,2.4849066497880004,0,435
zubat,0.8,7.5,49,poison,flying,40,45,35,30,40,55,flying,NA,1,TRUE,2.0149030205422647,-0.2231435513142097,245
golbat,1.6,55,159,poison,flying,75,80,70,65,75,90,flying,NA,1,TRUE,4.007333185232471,0.47000362924573563,455
oddish,0.5,5.4,64,grass,poison,45,50,55,75,65,30,plant,NA,1,TRUE,1.6863989535702288,-0.6931471805599453,320
gloom,0.8,8.6,138,grass,poison,60,65,70,85,75,40,plant,NA,1,TRUE,2.151762203259462,-0.2231435513142097,395
vileplume,1.2,18.6,221,grass,poison,75,80,85,110,90,50,plant,NA,1,TRUE,2.9231615807191558,0.1823215567939546,490
paras,0.3,5.4,57,bug,grass,35,70,55,45,55,25,bug,plant,1,TRUE,1.6863989535702288,-1.2039728043259361,285
parasect,1,29.5,142,bug,grass,60,95,80,60,80,30,bug,plant,1,TRUE,3.3843902633457743,0,405
venonat,1,30,61,bug,poison,60,55,50,40,55,45,bug,NA,1,TRUE,3.4011973816621555,0,305
venomoth,1.5,12.5,158,bug,poison,70,65,60,90,75,90,bug,NA,1,TRUE,2.5257286443082556,0.4054651081081644,450
diglett,0.2,0.8,53,ground,NA,10,55,25,35,45,95,ground,NA,1,FALSE,-0.2231435513142097,-1.6094379124341003,265
dugtrio,0.7,33.3,149,ground,NA,35,100,50,50,70,120,ground,NA,1,FALSE,3.505557396986398,-0.35667494393873245,425
meowth,0.4,4.2,58,normal,NA,40,45,35,40,40,90,ground,NA,1,FALSE,1.4350845252893227,-0.916290731874155,290
persian,1,32,154,normal,NA,65,70,60,65,65,115,ground,NA,1,FALSE,3.4657359027997265,0,440
psyduck,0.8,19.6,64,water,NA,50,52,48,65,50,55,water1,ground,1,FALSE,2.975529566236472,-0.2231435513142097,320
golduck,1.7,76.6,175,water,NA,80,82,78,95,80,85,water1,ground,1,FALSE,4.338597076746545,0.5306282510621704,500
mankey,0.5,28,61,fighting,NA,40,80,35,35,45,70,ground,NA,1,FALSE,3.332204510175204,-0.6931471805599453,305
primeape,1,32,159,fighting,NA,65,105,60,60,70,95,ground,NA,1,FALSE,3.4657359027997265,0,455
growlithe,0.7,19,70,fire,NA,55,70,45,70,50,60,ground,NA,1,FALSE,2.9444389791664403,-0.35667494393873245,350
arcanine,1.9,155,194,fire,NA,90,110,80,100,80,95,ground,NA,1,FALSE,5.043425116919247,0.6418538861723947,555
poliwag,0.6,12.4,60,water,NA,40,50,40,40,40,90,water1,NA,1,FALSE,2.517696472610991,-0.5108256237659907,300
poliwhirl,1,20,135,water,NA,65,65,65,50,50,90,water1,NA,1,FALSE,2.995732273553991,0,385
poliwrath,1.3,54,230,water,fighting,90,95,95,70,90,70,water1,NA,1,TRUE,3.9889840465642745,0.26236426446749106,510
abra,0.9,19.5,62,psychic,NA,25,20,15,105,55,90,humanshape,NA,1,FALSE,2.970414465569701,-0.10536051565782628,310
kadabra,1.3,56.5,140,psychic,NA,40,35,30,120,70,105,humanshape,NA,1,FALSE,4.034240638152395,0.26236426446749106,400
alakazam,1.5,48,225,psychic,NA,55,50,45,135,95,120,humanshape,NA,1,FALSE,3.871201010907891,0.4054651081081644,500
machop,0.8,19.5,61,fighting,NA,70,80,50,35,35,35,humanshape,NA,1,FALSE,2.970414465569701,-0.2231435513142097,305
machoke,1.5,70.5,142,fighting,NA,80,100,70,50,60,45,humanshape,NA,1,FALSE,4.255612709818223,0.4054651081081644,405
machamp,1.6,130,227,fighting,NA,90,130,80,65,85,55,humanshape,NA,1,FALSE,4.867534450455582,0.47000362924573563,505
bellsprout,0.7,4,60,grass,poison,50,75,35,70,30,40,plant,NA,1,TRUE,1.3862943611198906,-0.35667494393873245,300
weepinbell,1,6.4,137,grass,poison,65,90,50,85,45,55,plant,NA,1,TRUE,1.8562979903656263,0,390
victreebel,1.7,15.5,221,grass,poison,80,105,65,100,70,70,plant,NA,1,TRUE,2.740840023925201,0.5306282510621704,490
tentacool,0.9,45.5,67,water,poison,40,40,35,50,100,70,water3,NA,1,TRUE,3.817712325956905,-0.10536051565782628,335
tentacruel,1.6,55,180,water,poison,80,70,65,80,120,100,water3,NA,1,TRUE,4.007333185232471,0.47000362924573563,515
geodude,0.4,20,60,rock,ground,40,80,100,30,30,20,mineral,NA,1,TRUE,2.995732273553991,-0.916290731874155,300
graveler,1,105,137,rock,ground,55,95,115,45,45,35,mineral,NA,1,TRUE,4.653960350157523,0,390
golem,1.4,300,223,rock,ground,80,120,130,55,65,45,mineral,NA,1,TRUE,5.703782474656201,0.3364722366212129,495
ponyta,1,30,82,fire,NA,50,85,55,65,65,90,ground,NA,1,FALSE,3.4011973816621555,0,410
rapidash,1.7,95,175,fire,NA,65,100,70,80,80,105,ground,NA,1,FALSE,4.553876891600541,0.5306282510621704,500
slowpoke,1.2,36,63,water,psychic,90,65,65,40,40,15,monster,water1,1,TRUE,3.58351893845611,0.1823215567939546,315
slowbro,1.6,78.5,172,water,psychic,95,75,110,100,80,30,monster,water1,1,TRUE,4.363098624788363,0.47000362924573563,490
magnemite,0.3,6,65,electric,steel,25,35,70,95,55,45,mineral,NA,1,TRUE,1.791759469228055,-1.2039728043259361,325
magneton,1,60,163,electric,steel,50,60,95,120,70,70,mineral,NA,1,TRUE,4.0943445622221,0,465
farfetchd,0.8,15,132,normal,flying,52,90,55,58,62,60,flying,ground,1,TRUE,2.70805020110221,-0.2231435513142097,377
doduo,1.4,39.2,62,normal,flying,35,85,45,35,35,75,flying,NA,1,TRUE,3.6686767467964168,0.3364722366212129,310
dodrio,1.8,85.2,165,normal,flying,60,110,70,60,60,110,flying,NA,1,TRUE,4.44500143383527,0.5877866649021191,470
seel,1.1,90,65,water,NA,65,45,55,45,70,45,water1,ground,1,FALSE,4.499809670330265,0.09531017980432493,325
dewgong,1.7,120,166,water,ice,90,70,80,70,95,70,water1,ground,1,TRUE,4.787491742782046,0.5306282510621704,475
grimer,0.9,30,65,poison,NA,80,80,50,40,50,25,indeterminate,NA,1,FALSE,3.4011973816621555,-0.10536051565782628,325
muk,1.2,30,175,poison,NA,105,105,75,65,100,50,indeterminate,NA,1,FALSE,3.4011973816621555,0.1823215567939546,500
shellder,0.3,4,61,water,NA,30,65,100,45,25,40,water3,NA,1,FALSE,1.3862943611198906,-1.2039728043259361,305
cloyster,1.5,132.5,184,water,ice,50,95,180,85,45,70,water3,NA,1,TRUE,4.886582645426277,0.4054651081081644,525
gastly,1.3,0.1,62,ghost,poison,30,35,30,100,35,80,indeterminate,NA,1,TRUE,-2.3025850929940455,0.26236426446749106,310
haunter,1.6,0.1,142,ghost,poison,45,50,45,115,55,95,indeterminate,NA,1,TRUE,-2.3025850929940455,0.47000362924573563,405
gengar,1.5,40.5,225,ghost,poison,60,65,60,130,75,110,indeterminate,NA,1,TRUE,3.7013019741124933,0.4054651081081644,500
onix,8.8,210,77,rock,ground,35,45,160,30,45,70,mineral,NA,1,TRUE,5.3471075307174685,2.174751721484161,385
drowzee,1,32.4,66,psychic,NA,60,48,45,43,90,42,humanshape,NA,1,FALSE,3.4781584227982836,0,328
hypno,1.6,75.6,169,psychic,NA,85,73,70,73,115,67,humanshape,NA,1,FALSE,4.3254562831854875,0.47000362924573563,483
krabby,0.4,6.5,65,water,NA,30,105,90,25,25,50,water3,NA,1,FALSE,1.8718021769015913,-0.916290731874155,325
kingler,1.3,60,166,water,NA,55,130,115,50,50,75,water3,NA,1,FALSE,4.0943445622221,0.26236426446749106,475
voltorb,0.5,10.4,66,electric,NA,40,30,50,55,55,100,mineral,NA,1,FALSE,2.341805806147327,-0.6931471805599453,330
electrode,1.2,66.6,172,electric,NA,60,50,70,80,80,150,mineral,NA,1,FALSE,4.198704577546343,0.1823215567939546,490
exeggcute,0.4,2.5,65,grass,psychic,60,40,80,60,45,40,plant,NA,1,TRUE,0.9162907318741551,-0.916290731874155,325
exeggutor,2,120,186,grass,psychic,95,95,85,125,75,55,plant,NA,1,TRUE,4.787491742782046,0.6931471805599453,530
cubone,0.4,6.5,64,ground,NA,50,50,95,40,50,35,monster,NA,1,FALSE,1.8718021769015913,-0.916290731874155,320
marowak,1,45,149,ground,NA,60,80,110,50,80,45,monster,NA,1,FALSE,3.8066624897703196,0,425
hitmonlee,1.5,49.8,159,fighting,NA,50,120,53,35,110,87,humanshape,NA,1,FALSE,3.9080149840306073,0.4054651081081644,455
hitmonchan,1.4,50.2,159,fighting,NA,50,105,79,35,110,76,humanshape,NA,1,FALSE,3.9160150266976834,0.3364722366212129,455
lickitung,1.2,65.5,77,normal,NA,90,55,75,60,75,30,monster,NA,1,FALSE,4.182050142641207,0.1823215567939546,385
koffing,0.6,1,68,poison,NA,40,65,95,60,45,35,indeterminate,NA,1,FALSE,0,-0.5108256237659907,340
weezing,1.2,9.5,172,poison,NA,65,90,120,85,70,60,indeterminate,NA,1,FALSE,2.2512917986064953,0.1823215567939546,490
rhyhorn,1,115,69,ground,rock,80,85,95,30,30,25,monster,ground,1,TRUE,4.74493212836325,0,345
rhydon,1.9,120,170,ground,rock,105,130,120,45,45,40,monster,ground,1,TRUE,4.787491742782046,0.6418538861723947,485
chansey,1.1,34.6,395,normal,NA,250,5,5,35,105,50,fairy,NA,1,FALSE,3.543853682063679,0.09531017980432493,450
tangela,1,35,87,grass,NA,65,55,115,100,40,60,plant,NA,1,FALSE,3.5553480614894135,0,435
kangaskhan,2.2,80,172,normal,NA,105,95,80,40,80,90,monster,NA,1,FALSE,4.382026634673881,0.7884573603642703,490
horsea,0.4,8,59,water,NA,30,40,70,70,25,60,water1,dragon,1,FALSE,2.0794415416798357,-0.916290731874155,295
seadra,1.2,25,154,water,NA,55,65,95,95,45,85,water1,dragon,1,FALSE,3.2188758248682006,0.1823215567939546,440
goldeen,0.6,15,64,water,NA,45,67,60,35,50,63,water2,NA,1,FALSE,2.70805020110221,-0.5108256237659907,320
seaking,1.3,39,158,water,NA,80,92,65,65,80,68,water2,NA,1,FALSE,3.6635616461296463,0.26236426446749106,450
staryu,0.8,34.5,68,water,NA,30,45,55,70,55,85,water3,NA,1,FALSE,3.5409593240373143,-0.2231435513142097,340
starmie,1.1,80,182,water,psychic,60,75,85,100,85,115,water3,NA,1,TRUE,4.382026634673881,0.09531017980432493,520
mr-mime,1.3,54.5,161,psychic,fairy,40,45,65,100,120,90,humanshape,NA,1,TRUE,3.9982007016691985,0.26236426446749106,460
scyther,1.5,56,100,bug,flying,70,110,80,55,80,105,bug,NA,1,TRUE,4.02535169073515,0.4054651081081644,500
jynx,1.4,40.6,159,ice,psychic,65,50,35,115,95,95,humanshape,NA,1,TRUE,3.703768066607687,0.3364722366212129,455
electabuzz,1.1,30,172,electric,NA,65,83,57,95,85,105,humanshape,NA,1,FALSE,3.4011973816621555,0.09531017980432493,490
magmar,1.3,44.5,173,fire,NA,65,95,57,100,85,93,humanshape,NA,1,FALSE,3.7954891891721947,0.26236426446749106,495
pinsir,1.5,55,175,bug,NA,65,125,100,55,70,85,bug,NA,1,FALSE,4.007333185232471,0.4054651081081644,500
tauros,1.4,88.4,172,normal,NA,75,100,95,40,70,110,ground,NA,1,FALSE,4.481871969643598,0.3364722366212129,490
magikarp,0.9,10,40,water,NA,20,10,55,15,20,80,water2,dragon,1,FALSE,2.302585092994046,-0.10536051565782628,200
gyarados,6.5,235,189,water,flying,95,125,79,60,100,81,water2,dragon,1,TRUE,5.459585514144159,1.8718021769015913,540
lapras,2.5,220,187,water,ice,130,85,80,85,95,60,monster,water1,1,TRUE,5.393627546352362,0.9162907318741551,535
ditto,0.3,4,101,normal,NA,48,48,48,48,48,48,ditto,NA,1,FALSE,1.3862943611198906,-1.2039728043259361,288
eevee,0.3,6.5,65,normal,NA,55,55,50,45,65,55,ground,NA,1,FALSE,1.8718021769015913,-1.2039728043259361,325
vaporeon,1,29,184,water,NA,130,65,60,110,95,65,ground,NA,1,FALSE,3.367295829986474,0,525
jolteon,0.8,24.5,184,electric,NA,65,65,60,110,95,130,ground,NA,1,FALSE,3.1986731175506815,-0.2231435513142097,525
flareon,0.9,25,184,fire,NA,65,130,60,95,110,65,ground,NA,1,FALSE,3.2188758248682006,-0.10536051565782628,525
porygon,0.8,36.5,79,normal,NA,65,60,70,85,75,40,mineral,NA,1,FALSE,3.597312260588446,-0.2231435513142097,395
omanyte,0.4,7.5,71,rock,water,35,40,100,90,55,35,water1,water3,1,TRUE,2.0149030205422647,-0.916290731874155,355
omastar,1,35,173,rock,water,70,60,125,115,70,55,water1,water3,1,TRUE,3.5553480614894135,0,495
kabuto,0.5,11.5,71,rock,water,30,80,90,55,45,55,water1,water3,1,TRUE,2.4423470353692043,-0.6931471805599453,355
kabutops,1.3,40.5,173,rock,water,60,115,105,65,70,80,water1,water3,1,TRUE,3.7013019741124933,0.26236426446749106,495
aerodactyl,1.8,59,180,rock,flying,80,105,65,60,75,130,flying,NA,1,TRUE,4.07753744390572,0.5877866649021191,515
snorlax,2.1,460,189,normal,NA,160,110,65,65,110,30,monster,NA,1,FALSE,6.131226489483141,0.7419373447293773,540
articuno,1.7,55.4,261,ice,flying,90,85,100,95,125,85,no-eggs,NA,1,TRUE,4.014579593753238,0.5306282510621704,580
zapdos,1.6,52.6,261,electric,flying,90,90,85,125,90,100,no-eggs,NA,1,TRUE,3.9627161197436642,0.47000362924573563,580
moltres,2,60,261,fire,flying,90,100,90,125,85,90,no-eggs,NA,1,TRUE,4.0943445622221,0.6931471805599453,580
dratini,1.8,3.3,60,dragon,NA,41,64,45,50,50,50,water1,dragon,1,FALSE,1.1939224684724346,0.5877866649021191,300
dragonair,4,16.5,147,dragon,NA,61,84,65,70,70,70,water1,dragon,1,FALSE,2.803360380906535,1.3862943611198906,420
dragonite,2.2,210,270,dragon,flying,91,134,95,100,100,80,water1,dragon,1,TRUE,5.3471075307174685,0.7884573603642703,600
mewtwo,2,122,306,psychic,NA,106,110,90,154,90,130,no-eggs,NA,1,FALSE,4.804021044733257,0.6931471805599453,680
mew,0.4,4,270,psychic,NA,100,100,100,100,100,100,no-eggs,NA,1,FALSE,1.3862943611198906,-0.916290731874155,600
chikorita,0.9,6.4,64,grass,NA,45,49,65,49,65,45,monster,plant,2,FALSE,1.8562979903656263,-0.10536051565782628,318
bayleef,1.2,15.8,142,grass,NA,60,62,80,63,80,60,monster,plant,2,FALSE,2.760009940032921,0.1823215567939546,405
meganium,1.8,100.5,236,grass,NA,80,82,100,83,100,80,monster,plant,2,FALSE,4.61015772749913,0.5877866649021191,525
cyndaquil,0.5,7.9,62,fire,NA,39,52,43,60,50,65,ground,NA,2,FALSE,2.066862759472976,-0.6931471805599453,309
quilava,0.9,19,142,fire,NA,58,64,58,80,65,80,ground,NA,2,FALSE,2.9444389791664403,-0.10536051565782628,405
typhlosion,1.7,79.5,240,fire,NA,78,84,78,109,85,100,ground,NA,2,FALSE,4.375757021660286,0.5306282510621704,534
totodile,0.6,9.5,63,water,NA,50,65,64,44,48,43,monster,water1,2,FALSE,2.2512917986064953,-0.5108256237659907,314
croconaw,1.1,25,142,water,NA,65,80,80,59,63,58,monster,water1,2,FALSE,3.2188758248682006,0.09531017980432493,405
feraligatr,2.3,88.8,239,water,NA,85,105,100,79,83,78,monster,water1,2,FALSE,4.486386649998124,0.8329091229351039,530
sentret,0.8,6,43,normal,NA,35,46,34,35,45,20,ground,NA,2,FALSE,1.791759469228055,-0.2231435513142097,215
furret,1.8,32.5,145,normal,NA,85,76,64,45,55,90,ground,NA,2,FALSE,3.481240089335692,0.5877866649021191,415
hoothoot,0.7,21.2,52,normal,flying,60,30,30,36,56,50,flying,NA,2,TRUE,3.054001181677967,-0.35667494393873245,262
noctowl,1.6,40.8,158,normal,flying,100,50,50,86,96,70,flying,NA,2,TRUE,3.708682081410116,0.47000362924573563,452
ledyba,1,10.8,53,bug,flying,40,20,30,40,80,55,bug,NA,2,TRUE,2.379546134130174,0,265
ledian,1.4,35.6,137,bug,flying,55,35,50,55,110,85,bug,NA,2,TRUE,3.572345637857985,0.3364722366212129,390
spinarak,0.5,8.5,50,bug,poison,40,60,40,40,40,30,bug,NA,2,TRUE,2.1400661634962708,-0.6931471805599453,250
ariados,1.1,33.5,140,bug,poison,70,90,70,60,70,40,bug,NA,2,TRUE,3.5115454388310208,0.09531017980432493,400
crobat,1.8,75,241,poison,flying,85,90,80,70,80,130,flying,NA,2,TRUE,4.31748811353631,0.5877866649021191,535
chinchou,0.5,12,66,water,electric,75,38,38,56,56,67,water2,NA,2,TRUE,2.4849066497880004,-0.6931471805599453,330
lanturn,1.2,22.5,161,water,electric,125,58,58,76,76,67,water2,NA,2,TRUE,3.1135153092103742,0.1823215567939546,460
pichu,0.3,2,41,electric,NA,20,40,15,35,35,60,no-eggs,NA,2,FALSE,0.6931471805599453,-1.2039728043259361,205
cleffa,0.3,3,44,fairy,NA,50,25,28,45,55,15,no-eggs,NA,2,FALSE,1.0986122886681098,-1.2039728043259361,218
igglybuff,0.3,1,42,normal,fairy,90,30,15,40,20,15,no-eggs,NA,2,TRUE,0,-1.2039728043259361,210
togepi,0.3,1.5,49,fairy,NA,35,20,65,40,65,20,no-eggs,NA,2,FALSE,0.4054651081081644,-1.2039728043259361,245
togetic,0.6,3.2,142,fairy,flying,55,40,85,80,105,40,flying,fairy,2,TRUE,1.1631508098056809,-0.5108256237659907,405
natu,0.2,2,64,psychic,flying,40,50,45,70,45,70,flying,NA,2,TRUE,0.6931471805599453,-1.6094379124341003,320
xatu,1.5,15,165,psychic,flying,65,75,70,95,70,95,flying,NA,2,TRUE,2.70805020110221,0.4054651081081644,470
mareep,0.6,7.8,56,electric,NA,55,40,40,65,45,35,monster,ground,2,FALSE,2.0541237336955462,-0.5108256237659907,280
flaaffy,0.8,13.3,128,electric,NA,70,55,55,80,60,45,monster,ground,2,FALSE,2.5877640352277083,-0.2231435513142097,365
ampharos,1.4,61.5,230,electric,NA,90,75,85,115,90,55,monster,ground,2,FALSE,4.119037174812473,0.3364722366212129,510
bellossom,0.4,5.8,221,grass,NA,75,80,95,90,100,50,plant,NA,2,FALSE,1.7578579175523736,-0.916290731874155,490
marill,0.4,8.5,88,water,fairy,70,20,50,20,50,40,water1,fairy,2,TRUE,2.1400661634962708,-0.916290731874155,250
azumarill,0.8,28.5,189,water,fairy,100,50,80,60,80,50,water1,fairy,2,TRUE,3.349904087274605,-0.2231435513142097,420
sudowoodo,1.2,38,144,rock,NA,70,100,115,30,65,30,mineral,NA,2,FALSE,3.6375861597263857,0.1823215567939546,410
politoed,1.1,33.9,225,water,NA,90,75,75,90,100,70,water1,NA,2,FALSE,3.5234150143864045,0.09531017980432493,500
hoppip,0.4,0.5,50,grass,flying,35,35,40,35,55,50,fairy,plant,2,TRUE,-0.6931471805599453,-0.916290731874155,250
skiploom,0.6,1,119,grass,flying,55,45,50,45,65,80,fairy,plant,2,TRUE,0,-0.5108256237659907,340
jumpluff,0.8,3,207,grass,flying,75,55,70,55,95,110,fairy,plant,2,TRUE,1.0986122886681098,-0.2231435513142097,460
aipom,0.8,11.5,72,normal,NA,55,70,55,40,55,85,ground,NA,2,FALSE,2.4423470353692043,-0.2231435513142097,360
sunkern,0.3,1.8,36,grass,NA,30,30,30,30,30,30,plant,NA,2,FALSE,0.5877866649021191,-1.2039728043259361,180
sunflora,0.8,8.5,149,grass,NA,75,75,55,105,85,30,plant,NA,2,FALSE,2.1400661634962708,-0.2231435513142097,425
yanma,1.2,38,78,bug,flying,65,65,45,75,45,95,bug,NA,2,TRUE,3.6375861597263857,0.1823215567939546,390
wooper,0.4,8.5,42,water,ground,55,45,45,25,25,15,water1,ground,2,TRUE,2.1400661634962708,-0.916290731874155,210
quagsire,1.4,75,151,water,ground,95,85,85,65,65,35,water1,ground,2,TRUE,4.31748811353631,0.3364722366212129,430
espeon,0.9,26.5,184,psychic,NA,65,65,60,130,95,110,ground,NA,2,FALSE,3.2771447329921766,-0.10536051565782628,525
umbreon,1,27,184,dark,NA,95,65,110,60,130,65,ground,NA,2,FALSE,3.295836866004329,0,525
murkrow,0.5,2.1,81,dark,flying,60,85,42,85,42,91,flying,NA,2,TRUE,0.7419373447293773,-0.6931471805599453,405
slowking,2,79.5,172,water,psychic,95,75,80,100,110,30,monster,water1,2,TRUE,4.375757021660286,0.6931471805599453,490
misdreavus,0.7,1,87,ghost,NA,60,60,60,85,85,85,indeterminate,NA,2,FALSE,0,-0.35667494393873245,435
unown,0.5,5,118,psychic,NA,48,72,48,72,48,48,no-eggs,NA,2,FALSE,1.6094379124341003,-0.6931471805599453,336
wobbuffet,1.3,28.5,142,psychic,NA,190,33,58,33,58,33,indeterminate,NA,2,FALSE,3.349904087274605,0.26236426446749106,405
girafarig,1.5,41.5,159,normal,psychic,70,80,65,90,65,85,ground,NA,2,TRUE,3.7256934272366524,0.4054651081081644,455
pineco,0.6,7.2,58,bug,NA,50,65,90,35,35,15,bug,NA,2,FALSE,1.9740810260220096,-0.5108256237659907,290
forretress,1.2,125.8,163,bug,steel,75,90,140,60,60,40,bug,NA,2,TRUE,4.8346933442663405,0.1823215567939546,465
dunsparce,1.5,14,145,normal,NA,100,70,70,65,65,45,ground,NA,2,FALSE,2.6390573296152584,0.4054651081081644,415
gligar,1.1,64.8,86,ground,flying,65,75,105,35,65,85,bug,NA,2,TRUE,4.1713056033582285,0.09531017980432493,430
steelix,9.2,400,179,steel,ground,75,85,200,55,65,30,mineral,NA,2,TRUE,5.991464547107982,2.2192034840549946,510
snubbull,0.6,7.8,60,fairy,NA,60,80,50,40,40,30,ground,fairy,2,FALSE,2.0541237336955462,-0.5108256237659907,300
granbull,1.4,48.7,158,fairy,NA,90,120,75,60,60,45,ground,fairy,2,FALSE,3.885679030088544,0.3364722366212129,450
qwilfish,0.5,3.9,88,water,poison,65,95,85,55,55,85,water2,NA,2,TRUE,1.3609765531356006,-0.6931471805599453,440
scizor,1.8,118,175,bug,steel,70,130,100,55,80,65,bug,NA,2,TRUE,4.770684624465665,0.5877866649021191,500
shuckle,0.6,20.5,177,bug,rock,20,10,230,10,230,5,bug,NA,2,TRUE,3.0204248861443626,-0.5108256237659907,505
heracross,1.5,54,175,bug,fighting,80,125,75,40,95,85,bug,NA,2,TRUE,3.9889840465642745,0.4054651081081644,500
sneasel,0.9,28,86,dark,ice,55,95,55,35,75,115,ground,NA,2,TRUE,3.332204510175204,-0.10536051565782628,430
